Bode taken on 20092019-142930
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[10.718913192051275, 2.056666666666667, 0.09000000000000001, -29.35, -27.178427997485088]
[11.489510001873091, 2.066666666666667, 0.09484999999999999, 77.08695652173913, -26.764661991078206, 0.5369422778982897]
[12.315506032928255, 2.07, 0.097775, 108.04761904761905, -26.514850416654987, 0.30243677333909114]
[13.200884008314182, 2.07, 0.09896666666666666, 106.5, -26.40962805161071, 0.11884457030728786]
[14.149912974345758, 2.0549999999999997, 0.10116666666666667, 102.6, -26.15548771040948, 0.2677898676411661]
[15.167168884709225, 2.066666666666667, 0.10666666666666667, 102.61904761904762, -25.744834223566958, 0.4036874916713893]
[16.257556664437942, 2.07, 0.11, 99.0, -25.491553205973855, 0.23228526795863244]
[17.4263338600965, 2.07, 0.1135, 97.21739130434783, -25.219489678555522, 0.23277621126500164]
[18.67913599020783, 2.065, 0.12116666666666666, 96.33333333333333, -24.630737910340514, 0.469947930374838]
[20.022003718155844, 2.0583333333333336, 0.123, 94.5, -24.47221191545286, 0.11805034225514648]
[21.461411978584035, 2.065, 0.129, 95.11111111111111, -24.086606913863417, 0.2678913357595534]
[23.00430119772918, 2.066666666666667, 0.13175, 86.73076923076923, -23.910396217880145, 0.11420826187437072]
[24.658110758226027, 2.0583333333333336, 0.132, 93.18181818181819, -23.858835520123822, 0.031176925679902462]
[26.430814869741056, 2.045, 0.1436, 89.6923076923077, -23.07077744874158, 0.4445513869253304]
[28.330961018393243, 2.0716666666666668, 0.15175, 93.4, -22.70382357021412, 0.1931187655158784]
[30.367711180354576, 2.066666666666667, 0.16175, 87.5, -22.12852290875707, 0.2824601034537546]
[32.55088599835058, 2.08, 0.1618, 94.8, -22.18169635373016, -0.024356017912436287]
[34.891012134067736, 2.061666666666667, 0.17066666666666666, 83.33333333333333, -21.64139485978618, 0.23088562864086853]
[37.39937302478798, 2.0633333333333335, 0.182, 88.10526315789474, -21.089960126307616, 0.21983867453786732]
[40.08806328898464, 2.06, 0.1862, 91.75, -20.87775087447659, 0.07892662634177806]
[42.970047043208396, 2.06, 0.19699999999999998, 78.5, -20.388019884151213, 0.16992843544230296]
[46.05922041145106, 2.0700000000000003, 0.20366666666666666, 84.5, -20.14100779868052, 0.07996057715958207]
[49.37047852839004, 2.06, 0.208, 77.6, -19.916077708127837, 0.06792889065398926]
[52.91978735958442, 2.06, 0.21539999999999998, 84.75, -19.612430428143814, 0.08555110147511247]
[56.72426068491978, 2.063333333333333, 0.23759999999999998, 81.25, -18.77445915982599, 0.22025946738474156]
[60.80224261649421, 2.0633333333333335, 0.25175000000000003, 82.2, -18.271998301495998, 0.12321311539896941]
[65.17339604882423, 2.0533333333333332, 0.2664000000000001, 78.75, -17.738504738929986, 0.12204869282788727]
[69.8587974678525, 2.06, 0.2823333333333333, 74.6, -17.26210129516218, 0.1016782557483862]
[74.88103857590023, 2.075, 0.294, 80.5, -16.973415412719085, 0.05748148609999984]
[80.26433522257175, 2.063333333333334, 0.3162, 79.0, -16.29215057408531, 0.12655160645011118]
[86.034644166845, 2.0566666666666666, 0.33, 77.2, -15.892999388713836, 0.06917327810803102]
