Freq.	V(vo)
1.00000000000000e+000	(-5.20517349493331e+001dB,1.00064983077566e+002°)
1.00230523807790e+000	(-5.20310973908557e+001dB,1.00041260549392e+002°)
1.00461579027840e+000	(-5.20104626717176e+001dB,1.00017586704344e+002°)
1.00693166885180e+000	(-5.19898307797139e+001dB,9.99939614470750e+001°)
1.00925288607668e+000	(-5.19692017026888e+001dB,9.99703846822968e+001°)
1.01157945425990e+000	(-5.19485754285344e+001dB,9.99468563147854e+001°)
1.01391138573668e+000	(-5.19279519451921e+001dB,9.99233762493823e+001°)
1.01624869287070e+000	(-5.19073312406517e+001dB,9.98999443909938e+001°)
1.01859138805412e+000	(-5.18867133029509e+001dB,9.98765606445914e+001°)
1.02093948370768e+000	(-5.18660981201756e+001dB,9.98532249152137e+001°)
1.02329299228075e+000	(-5.18454856804602e+001dB,9.98299371079664e+001°)
1.02565192625141e+000	(-5.18248759719863e+001dB,9.98066971280229e+001°)
1.02801629812647e+000	(-5.18042689829828e+001dB,9.97835048806239e+001°)
1.03038612044162e+000	(-5.17836647017272e+001dB,9.97603602710812e+001°)
1.03276140576140e+000	(-5.17630631165436e+001dB,9.97372632047751e+001°)
1.03514216667934e+000	(-5.17424642158029e+001dB,9.97142135871561e+001°)
1.03752841581801e+000	(-5.17218679879239e+001dB,9.96912113237462e+001°)
1.03992016582906e+000	(-5.17012744213714e+001dB,9.96682563201386e+001°)
1.04231742939330e+000	(-5.16806835046572e+001dB,9.96453484819986e+001°)
1.04472021922080e+000	(-5.16600952263398e+001dB,9.96224877150648e+001°)
1.04712854805090e+000	(-5.16395095750239e+001dB,9.95996739251488e+001°)
1.04954242865232e+000	(-5.16189265393601e+001dB,9.95769070181362e+001°)
1.05196187382322e+000	(-5.15983461080454e+001dB,9.95541868999871e+001°)
1.05438689639126e+000	(-5.15777682698226e+001dB,9.95315134767370e+001°)
1.05681750921366e+000	(-5.15571930134802e+001dB,9.95088866544969e+001°)
1.05925372517729e+000	(-5.15366203278521e+001dB,9.94863063394541e+001°)
1.06169555719872e+000	(-5.15160502018177e+001dB,9.94637724378728e+001°)
1.06414301822431e+000	(-5.14954826243019e+001dB,9.94412848560949e+001°)
1.06659612123026e+000	(-5.14749175842743e+001dB,9.94188435005397e+001°)
1.06905487922266e+000	(-5.14543550707492e+001dB,9.93964482777049e+001°)
1.07151930523761e+000	(-5.14337950727870e+001dB,9.93740990941689e+001°)
1.07398941234124e+000	(-5.14132375794911e+001dB,9.93517958565877e+001°)
1.07646521362983e+000	(-5.13926825800101e+001dB,9.93295384716980e+001°)
1.07894672222983e+000	(-5.13721300635371e+001dB,9.93073268463178e+001°)
1.08143395129794e+000	(-5.13515800193088e+001dB,9.92851608873453e+001°)
1.08392691402120e+000	(-5.13310324366065e+001dB,9.92630405017614e+001°)
1.08642562361706e+000	(-5.13104873047547e+001dB,9.92409655966283e+001°)
1.08893009333343e+000	(-5.12899446131225e+001dB,9.92189360790919e+001°)
1.09144033644876e+000	(-5.12694043511214e+001dB,9.91969518563800e+001°)
1.09395636627209e+000	(-5.12488665082069e+001dB,9.91750128358048e+001°)
1.09647819614318e+000	(-5.12283310738781e+001dB,9.91531189247631e+001°)
1.09900583943252e+000	(-5.12077980376767e+001dB,9.91312700307359e+001°)
1.10153930954141e+000	(-5.11872673891871e+001dB,9.91094660612892e+001°)
1.10407861990207e+000	(-5.11667391180370e+001dB,9.90877069240746e+001°)
1.10662378397766e+000	(-5.11462132138962e+001dB,9.90659925268299e+001°)
1.10917481526240e+000	(-5.11256896664776e+001dB,9.90443227773797e+001°)
1.11173172728159e+000	(-5.11051684655361e+001dB,9.90226975836356e+001°)
1.11429453359173e+000	(-5.10846496008684e+001dB,9.90011168535960e+001°)
1.11686324778056e+000	(-5.10641330623138e+001dB,9.89795804953476e+001°)
1.11943788346715e+000	(-5.10436188397532e+001dB,9.89580884170656e+001°)
1.12201845430196e+000	(-5.10231069231092e+001dB,9.89366405270138e+001°)
1.12460497396692e+000	(-5.10025973023459e+001dB,9.89152367335450e+001°)
1.12719745617551e+000	(-5.09820899674695e+001dB,9.88938769451025e+001°)
1.12979591467280e+000	(-5.09615849085265e+001dB,9.88725610702186e+001°)
1.13240036323556e+000	(-5.09410821156047e+001dB,9.88512890175161e+001°)
1.13501081567231e+000	(-5.09205815788334e+001dB,9.88300606957094e+001°)
1.13762728582343e+000	(-5.09000832883826e+001dB,9.88088760136042e+001°)
1.14024978756117e+000	(-5.08795872344625e+001dB,9.87877348800969e+001°)
1.14287833478977e+000	(-5.08590934073243e+001dB,9.87666372041771e+001°)
1.14551294144553e+000	(-5.08386017972593e+001dB,9.87455828949260e+001°)
1.14815362149688e+000	(-5.08181123945995e+001dB,9.87245718615186e+001°)
1.15080038894443e+000	(-5.07976251897163e+001dB,9.87036040132221e+001°)
1.15345325782109e+000	(-5.07771401730218e+001dB,9.86826792593985e+001°)
1.15611224219210e+000	(-5.07566573349673e+001dB,9.86617975095027e+001°)
1.15877735615512e+000	(-5.07361766660441e+001dB,9.86409586730848e+001°)
1.16144861384034e+000	(-5.07156981567824e+001dB,9.86201626597888e+001°)
1.16412602941049e+000	(-5.06952217977530e+001dB,9.85994093793549e+001°)
1.16680961706096e+000	(-5.06747475795649e+001dB,9.85786987416180e+001°)
1.16949939101987e+000	(-5.06542754928662e+001dB,9.85580306565088e+001°)
1.17219536554813e+000	(-5.06338055283447e+001dB,9.85374050340549e+001°)
1.17489755493953e+000	(-5.06133376767262e+001dB,9.85168217843794e+001°)
1.17760597352080e+000	(-5.05928719287756e+001dB,9.84962808177030e+001°)
1.18032063565173e+000	(-5.05724082752959e+001dB,9.84757820443429e+001°)
1.18304155572516e+000	(-5.05519467071292e+001dB,9.84553253747149e+001°)
1.18576874816716e+000	(-5.05314872151551e+001dB,9.84349107193315e+001°)
1.18850222743702e+000	(-5.05110297902917e+001dB,9.84145379888041e+001°)
1.19124200802737e+000	(-5.04905744234946e+001dB,9.83942070938418e+001°)
1.19398810446427e+000	(-5.04701211057578e+001dB,9.83739179452536e+001°)
1.19674053130724e+000	(-5.04496698281130e+001dB,9.83536704539472e+001°)
1.19949930314938e+000	(-5.04292205816284e+001dB,9.83334645309285e+001°)
1.20226443461741e+000	(-5.04087733574107e+001dB,9.83133000873048e+001°)
1.20503594037179e+000	(-5.03883281466035e+001dB,9.82931770342828e+001°)
1.20781383510678e+000	(-5.03678849403874e+001dB,9.82730952831693e+001°)
1.21059813355048e+000	(-5.03474437299799e+001dB,9.82530547453716e+001°)
1.21338885046497e+000	(-5.03270045066356e+001dB,9.82330553323983e+001°)
1.21618600064636e+000	(-5.03065672616459e+001dB,9.82130969558590e+001°)
1.21898959892486e+000	(-5.02861319863381e+001dB,9.81931795274644e+001°)
1.22179966016487e+000	(-5.02656986720767e+001dB,9.81733029590273e+001°)
1.22461619926504e+000	(-5.02452673102618e+001dB,9.81534671624623e+001°)
1.22743923115840e+000	(-5.02248378923305e+001dB,9.81336720497864e+001°)
1.23026877081238e+000	(-5.02044104097549e+001dB,9.81139175331188e+001°)
1.23310483322890e+000	(-5.01839848540440e+001dB,9.80942035246817e+001°)
1.23594743344451e+000	(-5.01635612167416e+001dB,9.80745299368002e+001°)
1.23879658653036e+000	(-5.01431394894279e+001dB,9.80548966819028e+001°)
1.24165230759241e+000	(-5.01227196637178e+001dB,9.80353036725209e+001°)
1.24451461177138e+000	(-5.01023017312623e+001dB,9.80157508212905e+001°)
1.24738351424294e+000	(-5.00818856837475e+001dB,9.79962380409514e+001°)
1.25025903021771e+000	(-5.00614715128938e+001dB,9.79767652443469e+001°)
1.25314117494141e+000	(-5.00410592104577e+001dB,9.79573323444259e+001°)
1.25602996369487e+000	(-5.00206487682297e+001dB,9.79379392542409e+001°)
1.25892541179416e+000	(-5.00002401780353e+001dB,9.79185858869501e+001°)
1.26182753459066e+000	(-4.99798334317341e+001dB,9.78992721558158e+001°)
1.26473634747115e+000	(-4.99594285212209e+001dB,9.78799979742070e+001°)
1.26765186585784e+000	(-4.99390254384242e+001dB,9.78607632555973e+001°)
1.27057410520854e+000	(-4.99186241753068e+001dB,9.78415679135662e+001°)
1.27350308101666e+000	(-4.98982247238659e+001dB,9.78224118617997e+001°)
1.27643880881134e+000	(-4.98778270761318e+001dB,9.78032950140890e+001°)
