Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
15.16716888,0.991333333,0.04724,88.18181818,-26.43819641,-0.505758004
15.88565129,0.994,0.05335,90.10526316,-25.40503921,1.437971458
16.63816886,0.998,0.05404,85.25,-25.32830402,0.101971299
17.42633386,0.998,0.0569,91.2173913,-24.8803655,0.568330897
18.25183494,0.998,0.0565,86.33333333,-24.94164187,-0.074229305
19.11644075,1.003833333,0.05805,88.17391304,-24.75718777,0.213338949
20.02200372,1.0035,0.06135,87.66666667,-24.2740562,0.53351517
20.97046401,1.005,0.0621,88.9047619,-24.18148923,0.097597089
21.96385372,1.004166667,0.06152,84.75,-24.25578948,-0.074794664
23.0043012,1.008,0.0625,86.18181818,-24.1516103,0.100129212
24.0940356,1.01,0.064683333,88.6,-23.87057963,0.257889138
25.2353917,1.009166667,0.06516,85,-23.79963643,0.062156937
26.43081487,1.0142,0.0716,87.36363636,-23.02421168,0.648661306
27.6828663,1.0115,0.06805,87.71428571,-23.44275515,-0.334286166
28.99422854,1.015833333,0.0725,86.23529412,-22.92968906,0.391246658
30.36771118,1.013,0.0736,84.68181818,-22.77463262,0.112892901
31.80625693,1.015,0.0782,83.52173913,-22.26518578,0.354140171
33.31294788,1.017,0.074283333,81.6,-22.72859138,-0.307565132
34.89101213,1.0192,0.07808,83.8,-22.31439221,0.262472948
36.54383071,1.019333333,0.083225,84.77272727,-21.76124845,0.334666953
38.27494479,1.016,0.084225,82.54545455,-21.62905377,0.076363936
40.08806329,1.019,0.0882,80.08695652,-21.25411198,0.206793868
41.98707084,1.015,0.091033333,81.8,-20.94531194,0.162611276
43.97603609,1.02,0.092175,82.52380952,-20.87974051,0.032967608
46.05922041,1.018166667,0.0981,83.5,-20.32299735,0.267255834
48.24108704,1.022,0.09842,83,-20.3273507,-0.001995243
50.52631065,1.017,0.097175,80,-20.39532807,-0.029746485
52.91978736,1.019166667,0.10725,83.33333333,-19.5569582,0.350272834
55.42664521,1.017,0.109333333,80.2,-19.37136728,0.074033286
58.05225516,1.02425,0.11575,82.5,-18.93769946,0.165168409
60.80224262,1.023166667,0.1166,80.5,-18.86495665,0.026452051
63.68249945,1.019333333,0.121333333,78.33333333,-18.48672195,0.131319783
66.69919663,1.022,0.121333333,80.5,-18.50941534,-0.007522594
69.85879747,1.0198,0.131,76.2,-17.82487424,0.216654297
73.16807143,1.023666667,0.133,78.5,-17.72613842,0.029836099
76.63410868,1.022,0.1386,77.6,-17.35375331,0.107438287
80.26433522,1.018166667,0.14,78.25,-17.23381678,0.033038304
84.06652886,1.0232,0.1475,75.75,-16.82337022,0.107949936
88.04883582,1.023166667,0.1525,73.4,-16.53353079,0.072781792
92.21978823,1.0205,0.1612,75,-16.02895943,0.120972695
96.58832241,1.024833333,0.1612,73.2,-16.0657641,-0.008424948
101.163798,1.019333333,0.164,72.2,-15.86944757,0.042906259
105.9560179,1.0225,0.17325,70.2,-15.41980147,0.093828352
110.9752496,1.0205,0.184,71.6,-14.87990372,0.107565814
116.2322469,1.024833333,0.187,72,-14.77623272,0.019720573
121.7382728,1.022,0.1948,71.66666667,-14.39723887,0.06883256
127.5051241,1.024,0.20175,70,-14.10972826,0.049855733
133.5451563,1.023166667,0.21,67.5,-13.75454177,0.058805398
139.8713103,1.0205,0.2148,70.6,-13.53557464,0.034612993
146.4971398,1.022,0.2264,67.75,-13.09148947,0.067023332
153.4368409,1.024,0.234166667,66.33333333,-12.81549766,0.039769985
160.7052818,1.026,0.2456,65.5,-12.41837997,0.054635883
168.3180353,1.024333333,0.25275,64.75,-12.15500283,0.03459683
176.2914118,1.027,0.25925,64.25,-11.95703357,0.024828786
184.6424943,1.022,0.268666667,62.16666667,-11.60474217,0.042185118
193.389175,1.018166667,0.278833333,61.33333333,-11.24948368,0.040616378
202.5501939,1.0248,0.284,60.33333333,-11.14641553,0.01125073
212.1451785,1.0198,0.3004,56,-10.61630159,0.055249067
222.1946861,1.0225,0.309333333,58.5,-10.3847319,0.023042888
232.7202479,1.0205,0.3164,57,-10.17153068,0.020255567
243.744415,1.020833333,0.324,55.25,-9.968196649,0.01844439
255.2908068,1.0198,0.333,55,-9.721415483,0.021373012
267.3841616,1.023166667,0.349,53,-9.342419121,0.031339225
280.0503894,1.0228,0.356166667,54.2,-9.162748951,0.014184978
293.3166278,1.0205,0.363333333,52.8,-8.970155317,0.014517577
307.2112999,1.024333333,0.3748,51,-8.732834466,0.017079989
321.764175,1.022833333,0.383,50,-8.532121979,0.013791947
337.0064329,1.023166667,0.3958,47.33333333,-8.249411863,0.018547785
352.9707303,1.024,0.406333333,46,-8.028350115,0.013847258
369.6912707,1.027,0.415,45.6,-7.870446938,0.009443665
387.2038782,1.024333333,0.4235,45,-7.671757817,0.01134549
405.5460736,1.0282,0.432,42,-7.531877054,0.007626173
424.7571553,1.023166667,0.442166667,41.4,-7.287207668,0.012735846
444.8782831,1.024,0.448,41.2,-7.180438853,0.005306304
465.9525669,1.022,0.457,39.16666667,-6.990693915,0.009003625
488.0251584,1.022833333,0.464,36,-6.865737847,0.005661142
511.1433483,1.024833333,0.4714,37,-6.745273289,0.005210813
535.3566677,1.022,0.4816,35.4,-6.535288351,0.00867229
560.7169938,1.019333333,0.489,33.16666667,-6.380147345,0.006117469
587.2786613,1.023166667,0.494833333,33.6,-6.309748716,0.002650384
615.0985789,1.022833333,0.5014,31.25,-6.192410866,0.004217764
644.2363509,1.024833333,0.508,30,-6.095790608,0.00331598
674.7544053,1.024333333,0.51075,28.4,-6.044658605,0.001675467
706.7181274,1.024,0.51775,29.2,-5.923596981,0.00378747
740.1959997,1.023666667,0.521,27.33333333,-5.866416768,0.001708
775.2597489,1.023166667,0.529,26.5,-5.729814219,0.003895834
811.9844993,1.0198,0.5336,25.6,-5.625983734,0.002827262
850.4489342,1.022,0.5345,24.25,-5.630063725,-0.000106072
890.7354639,1.0205,0.538666667,24,-5.549858147,0.001990878
932.9304026,1.023666667,0.54,23.6,-5.555296038,-0.000128875
977.1241535,1.022,0.547833333,21.16666667,-5.416048842,0.003150835
1023.411402,1.021666667,0.551,20.5,-5.363152506,0.001142784
1071.891319,1.022,0.557,21.75,-5.271914012,0.001881985
1122.667774,1.0205,0.5582,18,-5.240463538,0.000619391
1175.849554,1.0218,0.559666667,17.25,-5.228729139,0.000220647
1231.550603,1.022,0.566833333,18.2,-5.119910285,0.001953623
1289.890261,1.019333333,0.564833333,15.8,-5.127918158,-0.000137263
1350.993521,1.022,0.565333333,16,-5.142926052,-0.000245615
1414.991297,1.0205,0.568,15.83333333,-5.089293467,0.000838038
1482.020706,1.020166667,0.572,14.6,-5.025502006,0.000951694
1552.225357,1.0198,0.58,14.5,-4.901740281,0.001762871
1625.755666,1.024833333,0.576,12.5,-5.004615185,-0.001399082
1702.769172,1.022833333,0.576,13,-4.98764779,0.000220317
1783.430877,1.023666667,0.5798,11.2,-4.937607014,0.000620378
1867.913599,1.023166667,0.58,10.8,-4.930367789,8.57E-05
1956.398344,1.0205,0.586,11.33333333,-4.818307861,0.001266432
2049.07469,1.022666667,0.584333333,10,-4.861468784,-0.000465717
2146.141198,1.022,0.584833333,10,-4.848375559,0.000134889
2247.805834,1.018166667,0.581333333,10,-4.867872977,-0.000191782
2354.286414,1.021333333,0.584333333,9.666666667,-4.850136897,0.000166566
2465.811076,1.019333333,0.584333333,9,-4.8331113,0.000152662
2582.618761,1.021333333,0.585,8.923076923,-4.840232803,-6.10E-05
2704.95973,1.0205,0.587,8.3,-4.803498156,0.000300264
2833.096102,1.022,0.587,8.571428571,-4.816255891,-9.96E-05
2967.302408,1.0205,0.587,8.235294118,-4.803498156,9.51E-05
3107.866188,1.0225,0.589333333,7.95,-4.786046214,0.000124157
3255.0886,1.023666667,0.591333333,6.709677419,-4.766524019,0.000132603
3409.28507,1.023666667,0.591,5.611111111,-4.771421617,-3.18E-05
3570.785965,1.022,0.5876,6.433333333,-4.807382174,-0.000222665
3739.937302,1.019333333,0.588,5.653846154,-4.778778006,0.000169104
3917.101491,1.0205,0.592,4.708333333,-4.729826047,0.000276308
4102.658106,1.024833333,0.591,4.071428571,-4.781315236,-0.000277485
4297.004704,1.022,0.590333333,4.814814815,-4.767071787,7.33E-05
4500.557676,1.021666667,0.589,4.214285714,-4.783878587,-8.26E-05
4713.753134,1.019,0.589666667,3.896551724,-4.751352116,0.000152566
4937.047853,1.019333333,0.595333333,3.84,-4.67112053,0.000359308
5170.920243,1.022333333,0.5902,4.035714286,-4.771866322,-0.000430772
5415.871378,1.020833333,0.590666667,2.964285714,-4.752247596,8.01E-05
5672.426068,1.0205,0.591333333,2.923076923,-4.739612966,4.92E-05
5941.133985,1.023666667,0.59,2.08,-4.786131002,-0.000173117
6222.570837,1.024333333,0.592666667,2.083333333,-4.752616072,0.000119085
6517.339605,1.027,0.596166667,3.230769231,-4.724055077,9.69E-05
6826.071834,1.022,0.5955,3,-4.6913826,0.000105828
7149.428987,1.0198,0.595,2.25,-4.679960838,3.53E-05
7488.103858,1.0218,0.592333333,1.964285714,-4.735994505,-0.00016545
7842.822061,1.022,0.591666667,2.310344828,-4.747475863,-3.24E-05
8214.343585,1.0205,0.593,2.086956522,-4.715166314,8.70E-05
8603.464417,1.019,0.592333333,0.896551724,-4.712160218,7.73E-06
9011.018252,1.019333333,0.594,1.833333333,-4.690595628,5.29E-05
9437.878278,1.0225,0.593,1.777777778,-4.732172466,-9.74E-05
9884.959047,1.022,0.5955,2.034482759,-4.6913826,9.12E-05
10353.21843,1.017,0.592333333,1.076923077,-4.695095597,-7.93E-06
10843.65969,1.022666667,0.5926,1.148148148,-4.739449068,-9.04E-05
11357.33358,1.018166667,0.592333333,1.222222222,-4.705054033,6.70E-05
11895.34067,1.022,0.5955,1.846153846,-4.6913826,2.54E-05
12458.83364,1.018166667,0.595,1,-4.66603818,4.50E-05
13049.01978,1.019166667,0.594333333,0.931034483,-4.684302451,-3.09E-05
13667.16356,1.022,0.594333333,1.3,-4.708416147,-3.90E-05
14314.58938,1.017,0.593,0.925925926,-4.685325191,3.57E-05
14992.68433,1.021333333,0.593333333,1.074074074,-4.717375173,-4.73E-05
15702.90125,1.018166667,0.593,0.655172414,-4.695283628,3.11E-05
16446.76178,1.021333333,0.593,0.703703704,-4.722256258,-3.63E-05
17225.85965,1.018166667,0.595,0.12,-4.66603818,7.22E-05
18041.86409,1.019,0.593666667,0.208333333,-4.692630385,-3.26E-05
18896.5234,1.0205,0.594333333,0.958333333,-4.695658412,-3.54E-06
19791.66868,1.019166667,0.595,0.142857143,-4.674564905,2.36E-05
20729.2178,1.022,0.591666667,0.793103448,-4.747475863,-7.78E-05
21711.17946,1.017,0.593,0,-4.685325191,6.33E-05
22739.65752,1.019,0.5935,0.259259259,-4.695069214,-9.47E-06
23816.85552,1.018166667,0.5926,0.185185185,-4.701144552,-5.64E-06
24945.08135,1.018,0.593666667,0.192307692,-4.684102265,1.51E-05
26126.75226,1.017,0.5926,-0.086956522,-4.691186116,-5.99E-06
27364.39997,1.018,0.593,0,-4.693861693,-2.16E-06
28660.67617,1.017333333,0.593666667,0.133333333,-4.678412196,1.19E-05
30018.35814,1.015,0.593666667,-0.769230769,-4.65846755,1.47E-05
31440.35472,1.017,0.593,-0.846153846,-4.685325191,-1.89E-05
32929.71255,1.017,0.591,-0.185185185,-4.714669441,-1.97E-05
34489.6226,1.017,0.592,-0.111111111,-4.699984924,9.41E-06
36123.427,1.016,0.591666667,-0.807692308,-4.696332106,2.24E-06
37834.62617,1.014666667,0.591,-0.333333333,-4.69471825,9.43E-07
39626.88639,1.014,0.593,-0.333333333,-4.659665233,1.96E-05
41504.04758,1.019,0.592333333,-0.214285714,-4.712160218,-2.80E-05
43470.13158,1.014,0.592333333,-0.892857143,-4.669435638,2.17E-05
45529.35075,1.016,0.591,-0.25,-4.706124541,-1.78E-05
47686.11698,1.011833333,0.591,-0.793103448,-4.670430032,1.66E-05
49945.05116,1.015833333,0.591,-0.24137931,-4.704699574,-1.52E-05
52310.99308,1.013,0.588333333,-0.208333333,-4.719719807,-6.35E-06
54789.0118,1.014666667,0.591,-0.130434783,-4.69471825,1.01E-05
57384.41648,1.013,0.590333333,-1.222222222,-4.690242778,1.72E-06
60102.76782,1.010333333,0.589666667,-0.884615385,-4.677162069,4.81E-06
62949.8899,1.012833333,0.590333333,-0.869565217,-4.68881359,-4.09E-06
65931.88271,1.0115,0.5876,-1.038461538,-4.717682,-9.68E-06
69055.1352,1.01,0.586666667,-1,-4.718599214,-2.94E-07
72326.33896,1.009166667,0.586666667,-0.96,-4.71142968,2.19E-06
75752.50259,1.0065,0.585333333,-0.666666667,-4.708210447,9.40E-07
79340.96666,1.008,0.586,-1.148148148,-4.711258322,-8.49E-07
83099.41949,1.004166667,0.584,-0.8,-4.707859075,9.04E-07
87035.91361,1.0015,0.584,-0.772727273,-4.68476213,5.87E-06
91158.883,1.0045,0.584,-0.307692308,-4.710741879,-6.30E-06
95477.16114,1.000333333,0.583,-0.826086957,-4.689523719,4.91E-06
100000,1.000166667,0.582,-0.2,-4.702987835,-2.98E-06
