Freq.	V(vo)/V(vi)
1.00000000000000e+000	(-5.18995585353385e+001dB,8.97657165612139e+001°)
1.00230523807790e+000	(-5.18795588705094e+001dB,8.97651764881507e+001°)
1.00461579027840e+000	(-5.18595592072270e+001dB,8.97646351701324e+001°)
1.00693166885180e+000	(-5.18395595454988e+001dB,8.97640926042893e+001°)
1.00925288607668e+000	(-5.18195598853323e+001dB,8.97635487877453e+001°)
1.01157945425990e+000	(-5.17995602267341e+001dB,8.97630037176174e+001°)
1.01391138573668e+000	(-5.17795605697117e+001dB,8.97624573910161e+001°)
1.01624869287070e+000	(-5.17595609142725e+001dB,8.97619098050453e+001°)
1.01859138805412e+000	(-5.17395612604237e+001dB,8.97613609568021e+001°)
1.02093948370768e+000	(-5.17195616081725e+001dB,8.97608108433770e+001°)
1.02329299228075e+000	(-5.16995619575266e+001dB,8.97602594618537e+001°)
1.02565192625141e+000	(-5.16795623084933e+001dB,8.97597068093093e+001°)
1.02801629812647e+000	(-5.16595626610796e+001dB,8.97591528828141e+001°)
1.03038612044162e+000	(-5.16395630152935e+001dB,8.97585976794316e+001°)
1.03276140576140e+000	(-5.16195633711425e+001dB,8.97580411962187e+001°)
1.03514216667934e+000	(-5.15995637286338e+001dB,8.97574834302252e+001°)
1.03752841581801e+000	(-5.15795640877753e+001dB,8.97569243784945e+001°)
1.03992016582906e+000	(-5.15595644485744e+001dB,8.97563640380628e+001°)
1.04231742939330e+000	(-5.15395648110388e+001dB,8.97558024059599e+001°)
1.04472021922080e+000	(-5.15195651751763e+001dB,8.97552394792083e+001°)
1.04712854805090e+000	(-5.14995655409946e+001dB,8.97546752548239e+001°)
1.04954242865232e+000	(-5.14795659085013e+001dB,8.97541097298158e+001°)
1.05196187382322e+000	(-5.14595662777044e+001dB,8.97535429011860e+001°)
1.05438689639126e+000	(-5.14395666486116e+001dB,8.97529747659296e+001°)
1.05681750921366e+000	(-5.14195670212308e+001dB,8.97524053210349e+001°)
1.05925372517729e+000	(-5.13995673955699e+001dB,8.97518345634833e+001°)
1.06169555719872e+000	(-5.13795677716369e+001dB,8.97512624902490e+001°)
1.06414301822431e+000	(-5.13595681494396e+001dB,8.97506890982995e+001°)
1.06659612123026e+000	(-5.13395685289863e+001dB,8.97501143845952e+001°)
1.06905487922266e+000	(-5.13195689102844e+001dB,8.97495383460895e+001°)
1.07151930523761e+000	(-5.12995692933429e+001dB,8.97489609797286e+001°)
1.07398941234124e+000	(-5.12795696781695e+001dB,8.97483822824519e+001°)
1.07646521362983e+000	(-5.12595700647722e+001dB,8.97478022511918e+001°)
1.07894672222983e+000	(-5.12395704531595e+001dB,8.97472208828734e+001°)
1.08143395129794e+000	(-5.12195708433392e+001dB,8.97466381744149e+001°)
1.08392691402120e+000	(-5.11995712353201e+001dB,8.97460541227272e+001°)
1.08642562361706e+000	(-5.11795716291100e+001dB,8.97454687247143e+001°)
1.08893009333343e+000	(-5.11595720247180e+001dB,8.97448819772729e+001°)
1.09144033644876e+000	(-5.11395724221516e+001dB,8.97442938772927e+001°)
1.09395636627209e+000	(-5.11195728214195e+001dB,8.97437044216560e+001°)
1.09647819614318e+000	(-5.10995732225305e+001dB,8.97431136072383e+001°)
1.09900583943252e+000	(-5.10795736254931e+001dB,8.97425214309075e+001°)
1.10153930954141e+000	(-5.10595740303155e+001dB,8.97419278895244e+001°)
1.10407861990207e+000	(-5.10395744370065e+001dB,8.97413329799427e+001°)
1.10662378397766e+000	(-5.10195748455744e+001dB,8.97407366990088e+001°)
1.10917481526240e+000	(-5.09995752560283e+001dB,8.97401390435617e+001°)
1.11173172728159e+000	(-5.09795756683769e+001dB,8.97395400104332e+001°)
1.11429453359173e+000	(-5.09595760826287e+001dB,8.97389395964480e+001°)
1.11686324778056e+000	(-5.09395764987924e+001dB,8.97383377984230e+001°)
1.11943788346715e+000	(-5.09195769168770e+001dB,8.97377346131683e+001°)
1.12201845430196e+000	(-5.08995773368915e+001dB,8.97371300374863e+001°)
1.12460497396692e+000	(-5.08795777588443e+001dB,8.97365240681722e+001°)
1.12719745617551e+000	(-5.08595781827452e+001dB,8.97359167020137e+001°)
1.12979591467280e+000	(-5.08395786086026e+001dB,8.97353079357911e+001°)
1.13240036323556e+000	(-5.08195790364254e+001dB,8.97346977662774e+001°)
1.13501081567231e+000	(-5.07995794662229e+001dB,8.97340861902381e+001°)
1.13762728582343e+000	(-5.07795798980044e+001dB,8.97334732044313e+001°)
1.14024978756117e+000	(-5.07595803317788e+001dB,8.97328588056074e+001°)
1.14287833478977e+000	(-5.07395807675554e+001dB,8.97322429905096e+001°)
1.14551294144553e+000	(-5.07195812053432e+001dB,8.97316257558735e+001°)
1.14815362149688e+000	(-5.06995816451519e+001dB,8.97310070984272e+001°)
1.15080038894443e+000	(-5.06795820869904e+001dB,8.97303870148910e+001°)
1.15345325782109e+000	(-5.06595825308686e+001dB,8.97297655019781e+001°)
1.15611224219210e+000	(-5.06395829767954e+001dB,8.97291425563937e+001°)
1.15877735615512e+000	(-5.06195834247807e+001dB,8.97285181748357e+001°)
1.16144861384034e+000	(-5.05995838748334e+001dB,8.97278923539943e+001°)
1.16412602941049e+000	(-5.05795843269636e+001dB,8.97272650905520e+001°)
1.16680961706096e+000	(-5.05595847811807e+001dB,8.97266363811837e+001°)
1.16949939101987e+000	(-5.05395852374942e+001dB,8.97260062225567e+001°)
1.17219536554813e+000	(-5.05195856959140e+001dB,8.97253746113306e+001°)
1.17489755493953e+000	(-5.04995861564498e+001dB,8.97247415441572e+001°)
1.17760597352080e+000	(-5.04795866191112e+001dB,8.97241070176806e+001°)
1.18032063565173e+000	(-5.04595870839080e+001dB,8.97234710285374e+001°)
1.18304155572516e+000	(-5.04395875508503e+001dB,8.97228335733562e+001°)
1.18576874816716e+000	(-5.04195880199478e+001dB,8.97221946487579e+001°)
1.18850222743702e+000	(-5.03995884912106e+001dB,8.97215542513556e+001°)
1.19124200802737e+000	(-5.03795889646484e+001dB,8.97209123777546e+001°)
1.19398810446427e+000	(-5.03595894402715e+001dB,8.97202690245525e+001°)
1.19674053130724e+000	(-5.03395899180903e+001dB,8.97196241883388e+001°)
1.19949930314938e+000	(-5.03195903981140e+001dB,8.97189778656955e+001°)
1.20226443461741e+000	(-5.02995908803536e+001dB,8.97183300531963e+001°)
1.20503594037179e+000	(-5.02795913648190e+001dB,8.97176807474073e+001°)
1.20781383510678e+000	(-5.02595918515207e+001dB,8.97170299448867e+001°)
1.21059813355048e+000	(-5.02395923404686e+001dB,8.97163776421846e+001°)
1.21338885046497e+000	(-5.02195928316734e+001dB,8.97157238358433e+001°)
1.21618600064636e+000	(-5.01995933251456e+001dB,8.97150685223969e+001°)
1.21898959892486e+000	(-5.01795938208954e+001dB,8.97144116983719e+001°)
1.22179966016487e+000	(-5.01595943189334e+001dB,8.97137533602864e+001°)
1.22461619926504e+000	(-5.01395948192701e+001dB,8.97130935046508e+001°)
1.22743923115840e+000	(-5.01195953219164e+001dB,8.97124321279672e+001°)
1.23026877081238e+000	(-5.00995958268826e+001dB,8.97117692267298e+001°)
1.23310483322890e+000	(-5.00795963341797e+001dB,8.97111047974246e+001°)
1.23594743344451e+000	(-5.00595968438182e+001dB,8.97104388365297e+001°)
1.23879658653036e+000	(-5.00395973558092e+001dB,8.97097713405149e+001°)
1.24165230759241e+000	(-5.00195978701631e+001dB,8.97091023058419e+001°)
1.24451461177138e+000	(-4.99995983868911e+001dB,8.97084317289643e+001°)
1.24738351424294e+000	(-4.99795989060043e+001dB,8.97077596063275e+001°)
1.25025903021771e+000	(-4.99595994275134e+001dB,8.97070859343687e+001°)
1.25314117494141e+000	(-4.99395999514298e+001dB,8.97064107095169e+001°)
1.25602996369487e+000	(-4.99196004777644e+001dB,8.97057339281929e+001°)
1.25892541179416e+000	(-4.98996010065285e+001dB,8.97050555868093e+001°)
1.26182753459066e+000	(-4.98796015377329e+001dB,8.97043756817702e+001°)
1.26473634747115e+000	(-4.98596020713893e+001dB,8.97036942094717e+001°)
1.26765186585784e+000	(-4.98396026075089e+001dB,8.97030111663014e+001°)
1.27057410520854e+000	(-4.98196031461029e+001dB,8.97023265486387e+001°)
1.27350308101666e+000	(-4.97996036871832e+001dB,8.97016403528546e+001°)
1.27643880881134e+000	(-4.97796042307607e+001dB,8.97009525753117e+001°)
1.27938130415752e+000	(-4.97596047768472e+001dB,8.97002632123644e+001°)
1.28233058265602e+000	(-4.97396053254543e+001dB,8.96995722603584e+001°)
1.28528665994361e+000	(-4.97196058765935e+001dB,8.96988797156312e+001°)
1.28824955169313e+000	(-4.96996064302766e+001dB,8.96981855745118e+001°)
1.29121927361353e+000	(-4.96796069865152e+001dB,8.96974898333208e+001°)
1.29419584144998e+000	(-4.96596075453215e+001dB,8.96967924883702e+001°)
1.29717927098395e+000	(-4.96396081067070e+001dB,8.96960935359637e+001°)
1.30016957803328e+000	(-4.96196086706836e+001dB,8.96953929723962e+001°)
1.30316677845229e+000	(-4.95996092372631e+001dB,8.96946907939543e+001°)
1.30617088813183e+000	(-4.95796098064581e+001dB,8.96939869969159e+001°)
1.30918192299940e+000	(-4.95596103782800e+001dB,8.96932815775505e+001°)
1.31219989901920e+000	(-4.95396109527416e+001dB,8.96925745321188e+001°)
1.31522483219223e+000	(-4.95196115298544e+001dB,8.96918658568730e+001°)
1.31825673855640e+000	(-4.94996121096312e+001dB,8.96911555480566e+001°)
1.32129563418657e+000	(-4.94796126920837e+001dB,8.96904436019046e+001°)
1.32434153519466e+000	(-4.94596132772249e+001dB,8.96897300146431e+001°)
1.32739445772973e+000	(-4.94396138650668e+001dB,8.96890147824897e+001°)
1.33045441797808e+000	(-4.94196144556219e+001dB,8.96882979016531e+001°)
1.33352143216332e+000	(-4.93996150489029e+001dB,8.96875793683335e+001°)
1.33659551654643e+000	(-4.93796156449223e+001dB,8.96868591787221e+001°)
1.33967668742593e+000	(-4.93596162436927e+001dB,8.96861373290015e+001°)
1.34276496113786e+000	(-4.93396168452270e+001dB,8.96854138153454e+001°)
1.34586035405594e+000	(-4.93196174495374e+001dB,8.96846886339188e+001°)
1.34896288259164e+000	(-4.92996180566373e+001dB,8.96839617808777e+001°)
1.35207256319427e+000	(-4.92796186665392e+001dB,8.96832332523693e+001°)
1.35518941235103e+000	(-4.92596192792563e+001dB,8.96825030445321e+001°)
1.35831344658715e+000	(-4.92396198948015e+001dB,8.96817711534955e+001°)
1.36144468246594e+000	(-4.92196205131879e+001dB,8.96810375753800e+001°)
1.36458313658892e+000	(-4.91996211344284e+001dB,8.96803023062972e+001°)
1.36772882559584e+000	(-4.91796217585366e+001dB,8.96795653423498e+001°)
1.37088176616484e+000	(-4.91596223855251e+001dB,8.96788266796315e+001°)
1.37404197501251e+000	(-4.91396230154080e+001dB,8.96780863142268e+001°)
1.37720946889394e+000	(-4.91196236481977e+001dB,8.96773442422116e+001°)
1.38038426460288e+000	(-4.90996242839085e+001dB,8.96766004596522e+001°)
1.38356637897177e+000	(-4.90796249225534e+001dB,8.96758549626064e+001°)
1.38675582887188e+000	(-4.90596255641460e+001dB,8.96751077471225e+001°)
1.38995263121334e+000	(-4.90396262087001e+001dB,8.96743588092399e+001°)
1.39315680294529e+000	(-4.90196268562291e+001dB,8.96736081449889e+001°)
1.39636836105593e+000	(-4.89996275067470e+001dB,8.96728557503905e+001°)
1.39958732257261e+000	(-4.89796281602673e+001dB,8.96721016214567e+001°)
1.40281370456195e+000	(-4.89596288168040e+001dB,8.96713457541901e+001°)
1.40604752412990e+000	(-4.89396294763710e+001dB,8.96705881445843e+001°)
1.40928879842186e+000	(-4.89196301389827e+001dB,8.96698287886236e+001°)
1.41253754462274e+000	(-4.88996308046524e+001dB,8.96690676822830e+001°)
1.41579377995707e+000	(-4.88796314733947e+001dB,8.96683048215282e+001°)
1.41905752168908e+000	(-4.88596321452237e+001dB,8.96675402023159e+001°)
1.42232878712281e+000	(-4.88396328201536e+001dB,8.96667738205930e+001°)
1.42560759360218e+000	(-4.88196334981986e+001dB,8.96660056722975e+001°)
1.42889395851109e+000	(-4.87996341793734e+001dB,8.96652357533577e+001°)
1.43218789927353e+000	(-4.87796348636921e+001dB,8.96644640596928e+001°)
1.43548943335364e+000	(-4.87596355511694e+001dB,8.96636905872124e+001°)
1.43879857825583e+000	(-4.87396362418200e+001dB,8.96629153318168e+001°)
1.44211535152486e+000	(-4.87196369356583e+001dB,8.96621382893969e+001°)
1.44543977074592e+000	(-4.86996376326990e+001dB,8.96613594558338e+001°)
1.44877185354475e+000	(-4.86796383329569e+001dB,8.96605788269996e+001°)
1.45211161758773e+000	(-4.86596390364470e+001dB,8.96597963987565e+001°)
1.45545908058195e+000	(-4.86396397431843e+001dB,8.96590121669573e+001°)
1.45881426027534e+000	(-4.86196404531835e+001dB,8.96582261274453e+001°)
1.46217717445671e+000	(-4.85996411664600e+001dB,8.96574382760543e+001°)
1.46554784095590e+000	(-4.85796418830287e+001dB,8.96566486086082e+001°)
1.46892627764385e+000	(-4.85596426029047e+001dB,8.96558571209215e+001°)
1.47231250243271e+000	(-4.85396433261033e+001dB,8.96550638087991e+001°)
1.47570653327588e+000	(-4.85196440526398e+001dB,8.96542686680360e+001°)
1.47910838816819e+000	(-4.84996447825301e+001dB,8.96534716944179e+001°)
1.48251808514594e+000	(-4.84796455157890e+001dB,8.96526728837204e+001°)
1.48593564228699e+000	(-4.84596462524324e+001dB,8.96518722317095e+001°)
1.48936107771090e+000	(-4.84396469924759e+001dB,8.96510697341415e+001°)
1.49279440957898e+000	(-4.84196477359352e+001dB,8.96502653867630e+001°)
1.49623565609442e+000	(-4.83996484828260e+001dB,8.96494591853106e+001°)
1.49968483550236e+000	(-4.83796492331640e+001dB,8.96486511255112e+001°)
1.50314196609001e+000	(-4.83596499869654e+001dB,8.96478412030819e+001°)
1.50660706618673e+000	(-4.83396507442461e+001dB,8.96470294137297e+001°)
1.51008015416413e+000	(-4.83196515050221e+001dB,8.96462157531521e+001°)
1.51356124843619e+000	(-4.82996522693095e+001dB,8.96454002170362e+001°)
1.51705036745932e+000	(-4.82796530371245e+001dB,8.96445828010597e+001°)
1.52054752973248e+000	(-4.82596538084837e+001dB,8.96437635008899e+001°)
1.52405275379728e+000	(-4.82396545834030e+001dB,8.96429423121843e+001°)
1.52756605823806e+000	(-4.82196553618990e+001dB,8.96421192305905e+001°)
1.53108746168202e+000	(-4.81996561439884e+001dB,8.96412942517459e+001°)
1.53461698279928e+000	(-4.81796569296874e+001dB,8.96404673712778e+001°)
1.53815464030302e+000	(-4.81596577190129e+001dB,8.96396385848037e+001°)
1.54170045294954e+000	(-4.81396585119817e+001dB,8.96388078879308e+001°)
1.54525443953840e+000	(-4.81196593086104e+001dB,8.96379752762562e+001°)
1.54881661891247e+000	(-4.80996601089164e+001dB,8.96371407453669e+001°)
1.55238700995807e+000	(-4.80796609129160e+001dB,8.96363042908398e+001°)
1.55596563160506e+000	(-4.80596617206265e+001dB,8.96354659082413e+001°)
1.55955250282694e+000	(-4.80396625320652e+001dB,8.96346255931280e+001°)
1.56314764264094e+000	(-4.80196633472490e+001dB,8.96337833410461e+001°)
1.56675107010813e+000	(-4.79996641661957e+001dB,8.96329391475314e+001°)
1.57036280433354e+000	(-4.79796649889221e+001dB,8.96320930081096e+001°)
1.57398286446620e+000	(-4.79596658154459e+001dB,8.96312449182960e+001°)
1.57761126969933e+000	(-4.79396666457845e+001dB,8.96303948735956e+001°)
1.58124803927037e+000	(-4.79196674799558e+001dB,8.96295428695031e+001°)
1.58489319246110e+000	(-4.78996683179772e+001dB,8.96286889015027e+001°)
1.58854674859776e+000	(-4.78796691598666e+001dB,8.96278329650683e+001°)
1.59220872705115e+000	(-4.78596700056417e+001dB,8.96269750556633e+001°)
1.59587914723672e+000	(-4.78396708553206e+001dB,8.96261151687408e+001°)
1.59955802861465e+000	(-4.78196717089215e+001dB,8.96252532997432e+001°)
1.60324539069002e+000	(-4.77996725664621e+001dB,8.96243894441025e+001°)
1.60694125301286e+000	(-4.77796734279608e+001dB,8.96235235972403e+001°)
1.61064563517825e+000	(-4.77596742934358e+001dB,8.96226557545674e+001°)
1.61435855682647e+000	(-4.77396751629053e+001dB,8.96217859114844e+001°)
1.61808003764305e+000	(-4.77196760363881e+001dB,8.96209140633809e+001°)
1.62181009735891e+000	(-4.76996769139026e+001dB,8.96200402056361e+001°)
1.62554875575047e+000	(-4.76796777954671e+001dB,8.96191643336185e+001°)
1.62929603263970e+000	(-4.76596786811009e+001dB,8.96182864426861e+001°)
1.63305194789432e+000	(-4.76396795708221e+001dB,8.96174065281859e+001°)
1.63681652142779e+000	(-4.76196804646500e+001dB,8.96165245854543e+001°)
1.64058977319952e+000	(-4.75996813626036e+001dB,8.96156406098172e+001°)
1.64437172321491e+000	(-4.75796822647015e+001dB,8.96147545965893e+001°)
1.64816239152549e+000	(-4.75596831709631e+001dB,8.96138665410750e+001°)
1.65196179822900e+000	(-4.75396840814078e+001dB,8.96129764385674e+001°)
1.65576996346951e+000	(-4.75196849960548e+001dB,8.96120842843490e+001°)
1.65958690743754e+000	(-4.74996859149231e+001dB,8.96111900736916e+001°)
1.66341265037015e+000	(-4.74796868380327e+001dB,8.96102938018558e+001°)
1.66724721255104e+000	(-4.74596877654031e+001dB,8.96093954640913e+001°)
1.67109061431069e+000	(-4.74396886970536e+001dB,8.96084950556372e+001°)
1.67494287602642e+000	(-4.74196896330045e+001dB,8.96075925717213e+001°)
1.67880401812254e+000	(-4.73996905732751e+001dB,8.96066880075605e+001°)
1.68267406107045e+000	(-4.73796915178857e+001dB,8.96057813583607e+001°)
1.68655302538872e+000	(-4.73596924668561e+001dB,8.96048726193167e+001°)
1.69044093164324e+000	(-4.73396934202067e+001dB,8.96039617856124e+001°)
1.69433780044731e+000	(-4.73196943779574e+001dB,8.96030488524204e+001°)
1.69824365246172e+000	(-4.72996953401289e+001dB,8.96021338149023e+001°)
1.70215850839493e+000	(-4.72796963067411e+001dB,8.96012166682085e+001°)
1.70608238900310e+000	(-4.72596972778148e+001dB,8.96002974074783e+001°)
1.71001531509027e+000	(-4.72396982533707e+001dB,8.95993760278398e+001°)
1.71395730750840e+000	(-4.72196992334294e+001dB,8.95984525244098e+001°)
1.71790838715757e+000	(-4.71997002180114e+001dB,8.95975268922938e+001°)
1.72186857498599e+000	(-4.71797012071378e+001dB,8.95965991265863e+001°)
1.72583789199018e+000	(-4.71597022008298e+001dB,8.95956692223703e+001°)
1.72981635921508e+000	(-4.71397031991081e+001dB,8.95947371747173e+001°)
1.73380399775412e+000	(-4.71197042019941e+001dB,8.95938029786879e+001°)
1.73780082874935e+000	(-4.70997052095088e+001dB,8.95928666293309e+001°)
1.74180687339159e+000	(-4.70797062216740e+001dB,8.95919281216840e+001°)
1.74582215292048e+000	(-4.70597072385105e+001dB,8.95909874507732e+001°)
1.74984668862464e+000	(-4.70397082600407e+001dB,8.95900446116133e+001°)
1.75388050184174e+000	(-4.70197092862856e+001dB,8.95890995992075e+001°)
1.75792361395867e+000	(-4.69997103172672e+001dB,8.95881524085474e+001°)
1.76197604641161e+000	(-4.69797113530073e+001dB,8.95872030346132e+001°)
1.76603782068614e+000	(-4.69597123935281e+001dB,8.95862514723736e+001°)
1.77010895831740e+000	(-4.69397134388513e+001dB,8.95852977167855e+001°)
1.77418948089014e+000	(-4.69197144889994e+001dB,8.95843417627943e+001°)
